PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	Qian, Pingping; Hou, Suiwen; Guo, Guangqin										Molecular mechanisms controlling pavement cell shape in Arabidopsis leaves								PLANT CELL REPORTS				28	8			1147	1157				10.1007/s00299-009-0729-8							Review	AUG 2009	2009	Pavement cells have an interlocking jigsaw puzzle-shaped leaf surface pattern. Twenty-three genes involved in the pavement cell morphogenesis were discovered until now. The mutations of these genes through various means lead to pavement cell shape defects, such as loss or lack of interdigitation, the reduction of lobing, gaps between lobe and neck regions in pavement cells, and distorted trichomes. These phenotypes are affected by the organization of microtubules and microfilaments. Microtubule bands are considered corresponding with the neck regions of the cell, while lobe formation depends on patches of microfilaments. The pathway of Rho of plant (ROP) GTPase signaling cascades regulates overall activity of the cytoskeleton in pavement cells. Some other proteins, in addition to the ROPs, SCAR/WAVE, and ARP2/3 complexes, are also involved in the pavement cell morphogenesis.									25	3	0	0	23	0	31			0721-7714	1432-203X										Lanzhou Univ, Key Lab Arid & Grassland Ecol, Sch Life Sci, Minist Educ, Lanzhou 730000, Gansu, Peoples R China				2009-08-01	WOS:000268500400001	19529941	
J	Espindola, Aline Calheiros; Rahman, Mujib; Mathavan, Senthan; Nobre, Ernesto Ferreira, Jr.				Mathavan, Senthan/J-8553-2013; Rahman, Mujib/GVT-1771-2022	Rahman, Mujib/0000-0002-5177-4159					Comparing Different Deep Learning Architectures as Vision-Based Multi-Label Classifiers for Identification of Multiple Distresses on Asphalt Pavement								TRANSPORTATION RESEARCH RECORD				2677	5			24	39				10.1177/03611981221127273					OCT 2022		Article	MAY 2023	2023	Distress measurement is essential in pavement management. Image-based distress identification is increasingly becoming an integral part of traffic speed network-level road condition surveys. This allows an aggregated summary of road conditions over the whole network, so it does not require an exact distress location within the lane. In this context, multi-label classification (MLC), based on convolutional neural networks (CNN), is proposed as a potential solution for distress identification from a network-level right-of-way (ROW) video survey. MLC has the advantage of low computing resource consumption, as it is implemented from lightweight classification networks. In this work, the developed MLC models used three different CNN architectures (VGG16, ResNet-34, and ResNet-50) to detect potholes, cracks, patches, and bleeding. The best model obtained 97% average accuracy with an F1-score of 93% in distress identification despite the variability in imaging hardware. This makes it possible to generalize the classification algorithm, allowing versatile applications and incorporating it into network-level pavement management systems. This model has good potential for fast and accurate distress identification from a video survey, avoiding the need for various types of expensive sensors like laser scanners.									6	0	0	0	0	0	6			0361-1981	2169-4052										Univ Fed Alagoas, Technol Ctr, Maceio, Alagoas, BrazilAston Univ, Dept Civil Engn, Birmingham, W Midlands, EnglandNobleo Technol, Eindhoven, NetherlandsUniv Fed Ceara, Dept Transport Engn, Fortaleza, Ceara, Brazil	Nobleo Technol			2022-11-09	WOS:000875913600001		
C	Zhao, Yubo; Wu, H. Felix; McDaniel, J. Gregory; Wang, Ming L.						Yu, TY; Gyekenyesi, AL; Shull, PJ; Diaz, AA; Wu, HF				Evaluating Road Surface Conditions Using Tire Generated Noise								NONDESTRUCTIVE CHARACTERIZATION FOR COMPOSITE MATERIALS, AEROSPACE ENGINEERING, CIVIL INFRASTRUCTURE, AND HOMELAND SECURITY 2013		Proceedings of SPIE		8694						869409			10.1117/12.2012269							Proceedings Paper	2013	2013	Classifications of road conditions are crucial because officials prioritize road maintenance decisions based on them. Pavement condition index (PCI) surveys are performed manually and used by many cities in the U.S. to evaluate road surface conditions. In this research, a more efficient method is used to detect road surface conditions. This method applies a probabilistic analysis to acoustic pressure data collected from a vehicle-mounted microphone. The data is collected while the driving and processed in real time. Acoustic pressure data contains information on road surface conditions because acoustic pressures change when the tire impacts different road surfaces. This change is audible to human ears, for example, a driver transitions from a normal road to a bridge. The acoustic pressure data used in this research was collected from roads with known PCI values that are used as a reference. To reveal the dominant common features and neglect trivial differences within a certain length of road, a probabilistic method is used to evaluate road surface conditions. This approach uses the Weibull probability density function (PDF) to evaluate road surface conditions. This distribution was chosen because it is closest to the actual PDF among other distributions such as the normal distribution and lognormal distribution. A key finding of this paper is that the Weibull PDF shows the largest change between roads with different PCI values. Another finding is that the Weibull pdf changes when the van hits road defects such as cracks and patches.					Conference on Nondestructive Characterization for Composite Materials, Aerospace Engineering, Civil Infrastructure, and Homeland SecurityConference on Nondestructive Characterization for Composite Materials, Aerospace Engineering, Civil Infrastructure, and Homeland Security	MAR 11-14, 2013MAR 11-14, 2013	SPIE; Amer Soc Mech EngineersSPIE; Amer Soc Mech Engineers	San Diego, CASan Diego, CA	3	0	0	0	0	0	3			0277-786X		978-0-8194-9477-1									Northeastern Univ, Dept Civil & Environm Engn, Boston, MA 02115 USA				2013-11-08	WOS:000325371700008		
P	DIEDRICH T R; FOSNACHT D R; HENDRICKSON D W; KIESEL R; ZANKO L M										System for preparing patching material such as            iron phosphate road patch composite material, comprises            components comprising magnetite concentrate particles,            acidic activators, reactive aggregate particles, filler            particles and composition					US2009117265-A1; US7939154-B2	UNIV MINNESOTA																									NOVELTY - The system (100) for preparing patching material such as an iron phosphate road patch composite material, comprises components comprising magnetite concentrate particles (102) having a size of -200 mesh, acidic activators (104) comprising phosphate anions, 47 wt.% of reactive aggregate particles (106) comprising iron, filler particles having a size of -4 mesh and a composition. The magnetite concentrate particles have a reactive iron concentration of greater than 55 wt.%. The reactive iron concentration of the reactive aggregate particles is 3-47 wt.%. USE - The system is useful for preparing flexible patching material such as an iron phosphate road patch composite material, which is useful as bottom filler material on road pavement surfaces such as asphalt, blacktop, concrete, gravel and class five to repair defects such as potholes and road surface during inclement weather. ADVANTAGE - The system is capable of effectively and economically preparing the flexible patching material, which has improved quality, physical strength, durability and resistance to traffic wear and weather conditions, good adherence to potholes present in roads and highways and reduced tendency to crack. DETAILED DESCRIPTION - The system (100) for preparing patching material such as an iron phosphate road patch composite material, comprises components comprising magnetite concentrate particles (102) having a size of -200 mesh, acidic activators (104) comprising phosphate anions, 47 wt.% of reactive aggregate particles (106) comprising iron, filler particles having a size of -4 mesh and a composition. The magnetite concentrate particles have a reactive iron concentration of greater than 55 wt.%. The reactive iron concentration of the reactive aggregate particles is 3-47 wt.%. The reactive aggregate particles have a size of +6 to -1/2 inch mesh. The filler particles comprise non-reactive filler particles. The components are provided as a kit, which comprises elastomeric coating composition provided separately from the acidic activator, the magnetite concentrate particles and the reactive aggregate particles. The acidic activator is provided separately from the magnetite concentrate particles and the reactive aggregate particles. INDEPENDENT CLAIMS are included for:(1) a method for applying patching material; and(2) a repair system for use in patching a repair site having a surface. DESCRIPTION Of DRAWING(S) - The diagram shows a block diagram of a system or kit for use in preparing patching material.System (100)Magnetite concentrate particles (102)Acidic activator (104)Reactive aggregate particles. (106)															0																		2025-03-20	DIIDW:2009H93521		
C	Arce-Saenz, Luis A.; Izquierdo-Reyes, Javier; Bustamante-Bello, Rogelio			IEEE	Bustamante-Bello, Rogelio/AAW-7668-2021; Arce, Luis Alejandro/HNQ-7353-2023; Reyes, Javier/AAH-3419-2020	Bustamante-Bello, Rogelio/0000-0001-9270-0052					Road Surface Monitoring System Through Machine Learning Ensemble Models								2023 IEEE 26TH INTERNATIONAL CONFERENCE ON INTELLIGENT TRANSPORTATION SYSTEMS, ITSC		IEEE International Conference on Intelligent Transportation Systems-ITSC						175	181				10.1109/ITSC57777.2023.10422327							Proceedings Paper	2023	2023	The proliferation of large urban centers presents numerous challenges, including effective road pavement maintenance, which is a critical issue. To address this concern, we developed a low-resource framework that utilizes Inertial Measurement Units (IMUs) and elementary Machine Learning (ML) classification models to monitor surface defects in the pavement. Our platform recorded accelerometer and gyroscope measurements on a test vehicle's damped and undamped mass while driving on Mexico City's street. We then labeled these measurements to identify and classify general and specific elements of road irregularities, including smooth and uneven road segments, manholes-potholes, speed bumps, and patches. We employed a time series analysis and feature extraction to preprocess the data in both the time and frequency domains. Next, utilizing an exhaustive grid search methodology, we trained elementary classification algorithms to find the best possible predictors and train the ensemble models with them. Based on several validation routes traveled, the overall system demonstrated a macro F1-score of 0.827. Finally, we deployed the algorithms and models onto a cloud instance to process incoming raw data, with resultant predictions stored in a database that can be visualized on a web platform.					IEEE 26th International Conference on Intelligent Transportation Systems (ITSC)IEEE 26th International Conference on Intelligent Transportation Systems (ITSC)	SEP 24-28, 2023SEP 24-28, 2023	IEEEIEEE	Bilbao, SPAINBilbao, SPAIN	1	0	0	0	0	0	1			2153-0009		979-8-3503-9946-2									Tecnol Monterrey, Sch Sci & Engn, Mexico City 14380, Mexico				2024-06-12	WOS:001178996700027		
J	Gao, Weihang; Huo, Linsheng; Li, Hongnan; Song, Gangbing				Gao, Weihang/AAR-9477-2020; Huo, Linsheng/D-2050-2018	Huo, Linsheng/0000-0002-3044-2630					An Embedded Tubular PZT Transducer Based Damage Imaging Method for Two-Dimensional Concrete Structures								IEEE ACCESS				6				30100	30109				10.1109/ACCESS.2018.2843788							Article	2018	2018	In this paper, a damage imaging method for 2-D concrete structures is proposed by employing embedded tubular piezoceramic transducers. The proposed method can image the damages when few numbers of transducers are used or less experimental data is collected. First, the time difference of arrival-based delay and sum (DAS) imaging method is adopted to improve the damage localization accuracy for concrete structural health monitoring. Compared with the conventional DAS imaging algorithm, the proposed method increases the potential number of combinations between the response signals induced by the damage in each transmitter and sensor pair, improving the signal to noise ratio of the imaging map and enhancing the performance of the defect detection and location. Second, to enable the proposed method applicable to a 2-D concrete structure (such as cement concrete pavement and shear walls), embeddable tubular lead zirconate titanate (PZT) transducers rather than conventional PZT patches are used. The new tubular PZT transducers are able to generate radially uniform stress waves in a planar concrete structure. Due to the special construction of the tubular PZT transducers, the detection aperture is significantly improved. Therefore, a few transducers are needed in contrast with the conventional PZT patches. The experimental results conducted on a concrete slab with eight embedded tubular PZT transducers demonstrate that the proposed method can predict the defect accurately and efficiently even with few transducers and less experimental data.									33	1	0	0	1	0	36			2169-3536											Dalian Univ Technol, State Key Lab Coastal & Offshore Engn, Dalian 116024, Peoples R ChinaUniv Houston, Dept Mech Engn, Houston, TX 77204 USA				2018-12-28	WOS:000435522600055		
J	Mhone, Limiton; Kikumoto, Mamoru				Kikumoto, Mamoru/AAX-7764-2020						Field performance of hand-mixed and machine-mixed asphalt in labour-based asphalt maintenance works								INTERNATIONAL JOURNAL OF PAVEMENT ENGINEERING				18	3			260	273				10.1080/10298436.2015.1065994							Article	2017	2017	Asphalt premix for labour-based maintenance works can be produced manually (hand-mixed) or by mechanised asphalt plants - the conventional method. Hand-mixed asphalt (HDMA), common especially in most developing countries, is claimed to equal machine-mixed asphalt (MMA) in terms of durability. Recently, however, there have been concerns about reduced durability of labour-based asphalt (LBA) works. The current study compared durability of HDMA and MMA with a view to establish suitable scope and appropriate traffic conditions for LBA maintenance works. The study was based on laboratory tests - on binder, aggregate and site premix - and field experiments which involved asphalt production and placement of small and big patches of HDMA and MMA on a heavily trafficked Likuni Road and a lightly trafficked Tsiranana Avenue in Lilongwe, Malawi. The study monitored the patch durability for two months after the maintenance work. Effects of the study variables - production method (HDMA and MMA), scope of works (small and big patches) and road category (heavily trafficked and lightly trafficked roads) - on patch durability were statistically analysed. The study has shown that production method affects durability of LBA the most. HDMA had 67% less durability than MMA. Scope of works and road class affected LBA durability by 27% and 23%, respectively. At a level of significance (p-value) of 0.05, the effect of production method was significant, while that of patch size and work scope was not statistically significant. It is imperative of asphalt producers to adhere to proportions of premix components if quality of HDMA is to improve. Apart from improving the HDMA production process, the quality of LBA works could be improved by increasing contractors' access to MMA. The study recommends contractors' cooperation and adoption of production techniques (cost-cutting techniques) such as use of recycled asphalt pavement and warm mixture asphalts in order to improve contractors' access to MMA.									1	0	0	0	0	0	1			1029-8436	1477-268X										Yokohama Natl Univ, Infrastruct Management Programme, Hodogaya Ku, Yokohama, Kanagawa, JapanYokohama Natl Univ, Inst Urban Innovat, Hodogaya Ku, Yokohama, Kanagawa, Japan				2017-03-29	WOS:000395089600007		
C	Han, RL						Wang, KCP; Kiao, G; Ji, J				A new road roughness deterioration model								TRAFFIC AND TRANSPORTATION STUDIES								776	783											Proceedings Paper	2000	2000	A new model to forecast roughness as a function of age, traffic, strength and maintenance, under given environmental conditions, has been developed from the World Bank's HDM3 incremental roughness model. This model replaces rutting, cracking, patching and potholing with variables constructed from maintenance records. The surface defects have been dropped because good maintenance practice in the study area prevents ruts, cracks, and potholes from developing so far as to critically affect roughness. In the new model, the modified structure number in the traffic-related term is replaced by falling weight deflection. For this non-linear model, a maximum likelihood procedure has been used to calibrate the parameters. Statistical tests indicate that the estimates have a high level of reliability. The model estimates imply that the age-environment variable explains about 52.5 percent of the roughness changes that would have occurred without maintenance, while traffic explains about 47.5 percent. This result indicates a much greater contribution of traffic to deterioration than has been found in a number of previous studies, partly because the relatively thin pavements in the study area are easily damaged by heavy trucks and also because maintenance effects are specified separately.					2nd International Conference on Traffic and Transportation Studies (ICTTS 2000)2nd International Conference on Traffic and Transportation Studies (ICTTS 2000)	JUL 31-AUG 02, 2000JUL 31-AUG 02, 2000	China Assoc Sci & Technol, Engn Soc; Amer Soc Civil Engineers; ARRB Transport Res Ltd; China Highway & Transportat Soc; China Land Soc; China Railway Soc; Chinese Soc Sci & Technol Labour Protect; Chinese Soc Urban Studies; Hong Kong Soc Transportat Studies; Hong Kong Univ Sci & Technol; Inst Transport Engineers; Japan Railway Tech Serv; Japan Soc Civil Engineers; NO Jiaotong Univ; Geograph Soc ChinaChina Assoc Sci & Technol, Engn Soc; Amer Soc Civil Engineers; ARRB Transport Res Ltd; China Highway & Transportat Soc; China Land Soc; China Railway Soc; Chinese Soc Sci & Technol Labour Protect; Chinese Soc Urban Studies; Hong Kong Soc Transportat Studies; Hong Kong Univ Sci & Technol; Inst Transport Engineers; Japan Railway Tech Serv; Japan Soc Civil Engineers; NO Jiaotong Univ; Geograph Soc China	NO JIAOTONG UNIV, BEIJING, PEOPLES R CHINANO JIAOTONG UNIV, BEIJING, PEOPLES R CHINA	1	0	0	0	0	0	1					0-7844-0503-4									Univ Western Australia, Dept Informat Mangement & Mkt, Nedlands, WA 6907, Australia				2000-01-01	WOS:000166689600119		
C	Vasiliev, Yu E.; Fineeva, M. A.; Kotlyarskiy, E., V; Sarichev, I. Yu			IEEE	Vasilev, Yuriy/I-8197-2013	Vasilev, Yuriy/0000-0002-1634-0152					Intellectualization of the Monitoring Process of Street and Road Network Objects								2021 INTELLIGENT TECHNOLOGIES AND ELECTRONIC DEVICES IN VEHICLE AND ROAD TRANSPORT COMPLEX (TIRVED)													10.1109/TIRVED53476.2021.9639133							Proceedings Paper	2021	2021	The article substantiates the necessity of intellectualization of the monitoring process of street and road network facilities using modern mobile trail labs, which is caused by the high labor intensity and considerable length of monitoring objects, a large number of measurable parameters, and the need for rapid processing of large amounts of information. It is proposed to use data mining methods for intelligent data analysis and prediction of pavement strength, which allow solving problems of classification, regression, clustering, and prediction using artificial intelligence methods. The results of forecasting the longitudinal and lateral evenness, cracks, and road patches are presented. An original technology for a comprehensive assessment of the transport and operational condition of the road network based on developed modern high-tech equipment, which can be used for all types of inspections, is proposed. It is shown that the introduction of decision support systems for the intellectualization of the monitoring process of street and road network objects will make it possible to increase the technological efficiency of repair activities, analyze defects using a knowledge base, make a reasonable choice of road construction materials and technologies, and manage the repair work, which will allow the application of artificial intelligence methods in the promising area of decision-making on the repair of street and road networks, based on the results of diagnostics obtained by trail labs.					Conference on Intelligent Technologies and Electronic Devices in Vehicle and Road Transport Complex (TIRVED)Conference on Intelligent Technologies and Electronic Devices in Vehicle and Road Transport Complex (TIRVED)	NOV 11-12, 2021NOV 11-12, 2021	Inst Radio & Informat Syst Assoc; IEEE Russia Section ED MTT AES Joint Chapter; IEEEInst Radio & Informat Syst Assoc; IEEE Russia Section ED MTT AES Joint Chapter; IEEE	Moscow Automobile & Road Construct State Tech Univ, Moscow, RUSSIAMoscow Automobile & Road Construct State Tech Univ, Moscow, RUSSIA	0	0	0	0	0	0	0					978-1-6654-0075-6									Moscow Automobile & Rd Construct State Tech Univ, Moscow, Russia				2022-04-15	WOS:000771713900025		
J	Yu, Jianwei; Chen, Zhipeng; Xiong, Zhiming				Chen, Zhipeng/O-8050-2019	YU, Jianwei/0000-0002-9364-1784; Zhipeng, Chen/0000-0001-8537-2409					A Novel Path Voting Algorithm for Surface Crack Detection								ELECTRONICS				11	3					501			10.3390/electronics11030501							Article	FEB 2022	2022	Path voting is a widely used technique for line structure detection in images. Traditional path voting, based on minimal-path, is performed to track paths based on how seeds grow. The former requires to set a starting point and an end point. Thus, the performance of minimal-path path voting depends on the initialization. However, high-quality initialization often requires human interaction, which limits its applications in practice. In this paper, a fully automatic path voting method has been proposed and applied for crack detection. The proposed path voting is performed to segment images, which partitions an image patch along the potential crack path and integrates the path to form a crack probability map. After path voting, crack seeds are sampled and modeled into a graph, and the edge weights are assigned using an attraction field algorithm. Finally, cracks are extracted by using spanning tree and tree pruning algorithms. Experimental results demonstrate that the proposed path voting approach can effectively infer the cracks from 2D optic images and 3D depth images.									3	0	0	0	0	0	3			2079-9292											Shenzhen Univ, Res Inst Smart Cities, Sch Architecture & Urban Planning, Shenzhen 518060, Peoples R ChinaMinist Nat Resources, Key Lab Urban Land Resources Monitoring & Simulat, Shenzhen 518060, Peoples R ChinaWuhan Hirail Profiling Technol Co Ltd, Wuhan 430060, Peoples R China	Wuhan Hirail Profiling Technol Co Ltd			2022-02-26	WOS:000756237700001		
C	Bhatt, Arpit; Bharadwaj, Shruti; Sharma, Vinamra Bhushan; Dubey, Rakesh; Biswas, Susham				Bharadwaj, Shruti/AGZ-8050-2022	SHARMA, VINAMRA BHUSHAN/0000-0002-3070-7512; Bhatt, Arpit Kumar/0000-0002-5286-0294; bharadwaj, shruti/0000-0003-4148-2520	Hinz, S; Feitosa, RQ; Weinmann, M; Jutzi, B				AN OVERVIEW OF ROAD HEALTH MONITORING SYSTEM FOR RIGID PAVEMENT BY TERRESTRIAL LASER SCANNER								XXIV ISPRS CONGRESS CONGRESS IMAGING TODAY, FORESEEING TOMORROW, COMMISSION I		International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences		43-B1				173	180				10.5194/isprs-archives-XLIII-B1-2022-173-2022							Proceedings Paper	2022	2022	Structural health monitoring (SHM) applications for roads should be created in order to save finances, protect public safety, and provide long-lasting road infrastructure. The terrestrial laser scanner (TLS) will be employed in this project for collecting data, used for monitoring purposes. LiDAR camera mounted on moving vehicle generating 3D point cloud is used for monitoring purpose. Poorly maintained roads result in lower productivity, higher fuel consumption, increased mechanical wear, hazardous operating conditions, driver discomfort, and higher rolling resistances. Road management agencies suffer with pavement repair methods and the finances to keep the existing road networks in good working order. The goal of this research work is to create a low-cost smart road health monitoring system that uses camera-based monitoring and smart phone sensors to identify the road section for maintenance. We have discovered that using accelerometers for pothole detection is ideal for this application. The road patches or pot holes for 2 km area of the RGIPT campus using accelerometer is being done. The smart phone will upload the position and any kind of undulated road surface to the cloud when the vehicle passes over it. Use of accelerometer may detect internal damage of the pavements before it appears on the top surface of the road. When other vehicles move towards an irregular road surface, the cloud will issue an undulated road surface reminder to make sure that the vehicle may safely and smoothly drive through the area. The system is simply dependent on a single phone setting and uses raw accelerometer measurements, which can record irregular driving or quick brakes. The data in this system are collected from the mobile phone and sensor for monitoring and forecasting of road surface. So, every pavement defect has different classification and treatment approach, as well as severity levels.					24th ISPRS Congress on Imaging Today, Foreseeing Tomorrow24th ISPRS Congress on Imaging Today, Foreseeing Tomorrow	JUN 06-11, 2022JUN 06-11, 2022	Int Soc Photogrammetry & Remote SensingInt Soc Photogrammetry & Remote Sensing	Nice, FRANCENice, FRANCE	6	0	0	0	0	0	6			1682-1750	2194-9034	*****************									Rajiv Gandhi Inst Petr Technol Jais, Dept Comp Sc Ence & Engn, Amethi, Uttar Pradesh, India	Rajiv Gandhi Inst Petr Technol Jais			2022-09-28	WOS:000855582700024		
C	Stimolo, M						Maldague, XP; Rozlosnik, AE				Practical utilization of thermography in road construction and in waterproofing systems								THERMOSENSE XXIV		PROCEEDINGS OF THE SOCIETY OF PHOTO-OPTICAL INSTRUMENTATION ENGINEERS (SPIE)		4710				299	306				10.1117/12.459578							Proceedings Paper	2002	2002	An overview of the damages, which can be detected by thermography in road and bridge paving, is given. Emphasis i placed on the detection of blisters in waterproofing membranes and bridge decks, as those disturb the heat flow. This system may be used both during construction and after deployment. Data collected during the construction (such as temperature of mixture during paving, temperature of the underground or temperature during flame up of waterproofing membranes) influence the quality of the building, suggesting the addition of thermograms to the building documentation. Some challenges in the analysis of thermograms due to patching on the roads are exposed and possible evaluation tools are presented. The currently utilized thermography is a passive system with seasonal and weather employment limitations; preliminary results of a test to assess the use of microwaves as heat source are presented.					Thermosense XXIV ConferenceThermosense XXIV Conference	APR 01-04, 2002APR 01-04, 2002	SPIESPIE	ORLANDO, FLORLANDO, FL	0	0	0	0	0	0	0			0277-786X		0-8194-4460-X									EMPA Eidgenoss Materialprufungs & Forschungsansta, Dubendorf, Switzerland				2002-01-01	WOS:000176994600033		
